heure;vitesse;debit
00:00;42.61;6.83
00:06;41.14;5.50
00:12;39.76;8.50
00:18;40.48;8.17
00:24;33.70;4.00
00:30;40.95;4.67
00:36;41.14;4.67
00:42;40.36;6.00
00:48;42.70;6.00
00:54;40.50;3.50
01:00;42.92;2.83
01:06;41.39;2.67
01:12;40.69;2.83
01:18;39.86;3.67
01:24;34.89;3.17
01:30;42.78;2.17
01:36;29.50;3.00
01:42;40.69;2.17
01:48;42.94;2.67
01:54;37.50;1.33
02:00;40.28;1.67
02:06;37.78;2.00
02:12;27.50;1.17
02:18;31.25;1.67
02:24;40.33;3.50
02:30;39.33;2.17
02:36;30.56;1.67
02:42;43.00;3.00
02:48;14.17;0.83
02:54;36.67;1.50
03:00;31.11;1.33
03:06;28.33;1.17
03:12;35.28;1.17
03:18;36.11;2.17
03:24;35.00;1.67
03:30;35.83;1.67
03:36;44.72;3.00
03:42;41.36;3.50
03:48;38.33;2.50
03:54;43.82;5.00
04:00;41.57;4.50
04:06;41.53;3.83
04:12;45.64;3.17
04:18;40.58;3.17
04:24;42.64;4.67
04:30;40.43;5.83
04:36;39.70;10.33
04:42;44.53;7.33
04:48;45.19;9.00
04:54;42.98;7.00
05:00;42.07;5.50
05:06;41.68;11.00
05:12;40.86;12.17
05:18;40.10;13.17
05:24;42.71;14.50
05:30;42.20;20.50
05:36;41.22;22.00
05:42;40.86;25.00
05:48;42.71;27.50
05:54;40.88;26.17
06:00;40.57;25.83
06:06;39.37;32.33
06:12;39.57;37.50
06:18;39.95;42.83
06:24;41.65;47.50
06:30;41.19;48.17
06:36;39.09;62.83
06:42;40.76;77.83
06:48;40.42;95.83
06:54;39.16;104.50
07:00;40.49;88.33
07:06;38.63;85.17
07:12;36.99;93.33
07:18;38.22;85.67
07:24;38.11;81.00
07:30;34.47;83.83
07:36;32.03;74.50
07:42;33.41;73.67
07:48;33.06;65.33
07:54;33.63;69.50
08:00;37.29;61.33
08:06;37.20;67.17
08:12;36.19;64.50
08:18;35.62;68.17
08:24;35.11;69.33
08:30;34.37;67.67
08:36;36.40;70.83
08:42;36.45;77.00
08:48;36.86;77.00
08:54;35.06;86.17
09:00;36.34;80.17
09:06;34.46;80.83
09:12;35.35;80.33
09:18;35.60;77.67
09:24;34.87;80.67
09:30;35.91;71.17
09:36;35.81;75.00
09:42;34.88;76.00
09:48;36.45;69.33
09:54;36.45;72.50
10:00;36.48;65.67
10:06;36.81;66.50
10:12;35.09;68.17
10:18;36.72;61.50
10:24;36.80;70.33
10:30;36.68;65.33
10:36;35.80;74.00
10:42;37.13;70.17
10:48;36.86;71.50
10:54;36.88;75.83
11:00;36.20;69.00
11:06;36.89;79.17
11:12;36.98;80.00
11:18;37.24;77.33
11:24;35.70;76.67
11:30;34.35;83.50
11:36;36.01;76.33
11:42;35.65;82.33
11:48;36.52;78.33
11:54;36.16;77.17
12:00;38.87;70.50
12:06;39.21;80.00
12:12;37.75;80.50
12:18;38.75;83.33
12:24;38.93;72.67
12:30;39.46;63.33
12:36;38.27;73.67
12:42;39.48;70.17
12:48;38.61;60.17
12:54;37.89;68.17
13:00;39.14;65.17
13:06;37.54;60.00
13:12;36.42;72.83
13:18;37.65;68.17
13:24;36.41;65.67
13:30;39.06;75.33
13:36;37.35;81.50
13:42;38.58;75.33
13:48;35.94;79.00
13:54;38.15;75.67
14:00;36.41;72.50
14:06;37.69;74.00
14:12;35.52;79.83
14:18;35.45;92.50
14:24;36.61;74.00
14:30;36.16;76.33
14:36;35.31;69.17
14:42;35.46;75.50
14:48;36.37;84.50
14:54;34.94;82.00
15:00;36.44;73.33
15:06;36.57;76.33
15:12;35.72;80.50
15:18;36.34;77.33
15:24;34.28;85.17
15:30;35.34;84.00
15:36;35.48;86.50
15:42;36.38;80.00
15:48;36.83;83.00
15:54;34.64;85.67
16:00;37.00;85.83
16:06;35.26;88.83
16:12;34.71;90.17
16:18;32.57;85.67
16:24;32.51;82.17
16:30;33.66;78.33
16:36;34.96;79.17
16:42;36.50;82.17
16:48;34.84;83.17
16:54;33.85;78.00
17:00;33.99;75.83
17:06;32.33;84.67
17:12;32.82;87.83
17:18;35.47;88.33
17:24;36.48;76.50
17:30;33.91;82.00
17:36;35.60;80.33
17:42;34.76;89.00
17:48;35.05;82.17
17:54;35.41;85.50
18:00;35.39;80.00
18:06;36.14;84.50
18:12;35.79;81.33
18:18;35.70;85.33
18:24;36.32;78.83
18:30;35.12;80.00
18:36;34.38;80.00
18:42;36.56;77.17
18:48;34.98;78.33
18:54;37.07;75.67
19:00;36.28;68.83
19:06;37.68;78.33
19:12;36.74;68.00
19:18;37.93;71.17
19:24;37.42;67.33
19:30;37.65;67.67
19:36;37.14;68.17
19:42;39.24;63.50
19:48;37.24;61.83
19:54;37.71;56.67
20:00;38.46;48.17
20:06;38.39;51.67
20:12;38.33;53.17
20:18;40.48;46.67
20:24;39.12;38.83
20:30;40.48;38.33
20:36;39.86;31.83
20:42;39.45;30.00
20:48;40.24;26.50
20:54;38.61;24.00
21:00;40.34;23.50
21:06;40.19;22.33
21:12;40.07;24.67
21:18;41.12;21.17
21:24;40.41;22.67
21:30;38.38;18.67
21:36;38.70;20.17
21:42;38.99;18.33
21:48;40.83;23.00
21:54;39.22;18.67
22:00;38.00;22.50
22:06;38.68;23.83
22:12;39.82;23.50
22:18;40.72;22.33
22:24;42.02;18.50
22:30;41.87;17.83
22:36;39.98;15.17
22:42;38.81;14.33
22:48;38.74;16.50
22:54;41.66;13.17
23:00;39.65;13.67
23:06;37.59;16.67
23:12;38.76;13.50
23:18;40.79;11.83
23:24;42.09;12.50
23:30;39.90;10.83
23:36;38.50;9.17
23:42;41.53;10.33
23:48;41.03;7.67
23:54;40.73;8.00