heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;116.63;39.38;12.176;4.632;35
00:06;109.00;42.00;0.000;0.000;3
00:12;115.68;40.04;13.595;4.923;7
00:18;111.14;41.50;13.032;5.151;29
00:24;113.13;40.76;14.867;5.905;36
00:30;111.70;41.28;13.538;5.384;40
00:36;112.38;40.95;13.708;5.309;45
00:42;114.61;40.19;14.934;5.582;50
00:48;115.74;39.76;14.249;5.269;48
00:54;112.83;40.74;14.884;6.029;50
01:00;113.38;40.54;11.963;4.410;47
01:06;114.76;40.02;11.966;4.421;45
01:12;114.76;40.02;13.452;5.076;42
01:18;113.99;40.29;13.321;5.048;41
01:24;110.03;41.79;13.911;5.937;40
01:30;112.86;40.75;14.127;5.535;36
01:36;114.89;40.06;15.912;5.944;33
01:42;113.34;40.62;16.660;6.291;31
01:48;109.23;42.16;18.632;10.029;34
01:54;109.61;42.05;15.117;6.084;34
02:00;108.73;42.34;15.399;6.194;34
02:06;102.39;45.00;20.066;23.592;36
02:12;101.66;45.34;20.087;22.577;38
02:18;102.59;44.96;20.622;23.292;36
02:24;102.37;45.00;19.758;22.578;35
02:30;104.01;44.25;21.980;24.556;30
02:36;103.83;44.35;21.188;23.104;35
02:42;103.97;44.27;16.744;7.268;33
02:48;102.52;44.88;17.146;8.075;28
02:54;103.10;44.61;13.015;6.236;39
03:00;104.52;43.99;12.977;6.025;45
03:06;105.39;43.62;13.127;6.039;48
03:12;104.68;43.97;13.017;6.067;46
03:18;104.23;44.15;13.314;6.218;47
03:24;104.41;44.04;13.434;6.273;46
03:30;102.53;44.83;17.900;11.865;42
03:36;101.19;45.45;22.572;16.657;30
03:42;98.05;46.89;23.050;17.496;27
03:48;98.12;46.93;23.927;17.863;27
03:54;98.93;46.45;24.380;18.410;28
04:00;103.71;44.40;21.320;15.992;27
04:06;104.45;44.14;15.599;7.204;34
04:12;104.21;44.23;15.547;7.675;40
04:18;104.90;43.87;16.237;7.271;52
04:24;106.02;43.41;18.189;8.467;56
04:30;105.68;43.49;17.871;8.346;59
04:36;102.66;44.76;15.983;7.814;59
04:42;103.04;44.61;16.101;7.739;56
04:48;108.35;42.46;15.998;7.315;59
04:54;108.51;42.46;17.008;6.747;69
05:00;113.90;40.38;18.913;8.009;72
05:06;119.51;38.45;19.949;8.221;69
05:12;117.72;39.05;21.011;8.577;72
05:18;113.34;40.57;21.625;9.148;69
05:24;111.13;41.38;20.154;8.621;80
05:30;112.84;40.80;18.081;7.902;85
05:36;111.04;41.54;17.101;7.628;79
05:42;108.90;42.30;15.991;7.375;88
05:48;109.69;42.00;16.075;6.826;97
05:54;111.89;41.14;16.451;6.583;92
06:00;112.25;41.00;13.193;5.091;91
06:06;111.62;41.24;11.509;4.485;124
06:12;118.24;39.07;11.293;3.913;172
06:18;113.90;40.45;13.713;5.516;157
06:24;108.45;42.43;13.151;5.997;141
06:30;108.53;42.41;13.613;5.865;156
06:36;107.06;43.02;12.196;5.548;162
06:42;106.11;43.36;9.755;4.769;196
06:48;104.14;44.16;13.236;16.440;254
06:54;102.68;44.78;14.355;16.475;247
07:00;101.75;45.25;17.692;61.959;219
07:06;102.54;44.92;14.589;39.178;209
07:12;103.20;44.58;13.090;16.633;227
07:18;100.23;45.94;14.151;31.433;233
07:24;99.81;46.07;11.891;13.435;245
07:30;102.36;45.01;13.731;43.388;272
07:36;101.12;45.57;16.540;65.279;247
07:42;99.22;46.34;15.936;77.109;231
07:48;98.47;46.74;18.910;76.666;257
07:54;97.00;47.48;19.842;117.606;288
08:00;97.28;47.37;16.793;91.398;310
08:06;97.98;47.01;15.650;128.505;331
08:12;95.55;48.16;16.908;82.954;377
08:18;96.25;47.80;15.461;77.429;407
08:24;95.82;47.95;17.657;63.955;419
08:30;93.55;49.25;18.773;28.217;417
08:36;93.17;49.43;22.036;44.878;400
08:42;94.63;48.67;20.528;61.024;404
08:48;95.22;48.40;20.561;44.194;440
08:54;93.81;49.03;21.681;72.917;438
09:00;95.01;48.49;19.085;40.584;405
09:06;95.46;48.22;21.513;50.946;424
09:12;92.90;49.55;23.946;85.565;439
09:18;95.33;48.30;23.642;60.766;450
09:24;99.03;46.53;21.065;88.712;452
09:30;100.33;45.90;17.555;38.100;386
09:36;101.79;45.22;17.473;53.064;414
09:42;101.55;45.41;18.491;109.625;461
09:48;102.92;44.68;17.591;47.819;424
09:54;104.44;44.02;14.710;23.488;387
10:00;103.16;44.63;14.025;29.242;414
10:06;104.05;44.19;11.950;18.872;425
10:12;104.82;43.87;12.181;19.534;418
10:18;103.56;44.41;11.633;11.568;376
10:24;105.85;43.51;7.857;3.512;339
10:30;104.38;44.11;9.554;4.954;370
10:36;106.06;43.37;6.114;2.557;411
10:42;107.03;42.99;7.109;3.026;348
10:48;104.72;43.95;8.138;3.625;354
10:54;105.40;43.64;8.663;4.316;368
11:00;106.95;42.98;8.268;3.349;367
11:06;106.17;43.34;8.141;3.576;357
11:12;106.32;43.24;7.165;3.067;327
11:18;107.56;42.75;6.663;2.720;335
11:24;106.33;43.29;7.589;3.359;333
11:30;105.82;43.49;7.653;4.002;368
11:36;107.23;42.89;6.917;2.853;402
11:42;106.12;43.36;7.711;3.260;359
11:48;106.33;43.23;6.869;2.976;411
11:54;107.35;42.91;6.548;2.645;395
12:00;108.79;42.30;6.951;2.692;374
12:06;108.63;42.40;7.215;2.904;363
12:12;106.41;43.27;6.668;2.883;374
12:18;106.41;43.28;6.654;2.775;384
12:24;107.36;42.90;7.724;3.421;356
12:30;108.17;42.56;6.958;2.839;348
12:36;108.88;42.25;8.592;3.604;299
12:42;108.27;42.54;8.032;3.185;304
12:48;110.79;41.49;6.716;2.676;302
12:54;110.35;41.72;9.219;3.949;286
13:00;110.79;41.54;8.337;3.220;276
13:06;109.92;41.86;8.051;3.251;303
13:12;108.54;42.37;10.068;6.886;331
13:18;108.21;42.50;6.793;2.839;319
13:24;108.16;42.52;7.887;3.276;331
13:30;109.26;42.02;7.353;3.097;346
13:36;109.21;42.20;7.015;2.743;365
13:42;109.11;42.21;8.419;3.573;347
13:48;107.03;42.96;8.516;3.545;336
13:54;109.97;41.77;7.804;3.213;331
14:00;109.63;42.01;6.703;2.592;299
14:06;108.48;42.47;7.419;3.221;350
14:12;108.90;42.19;6.735;2.640;344
14:18;106.85;43.02;6.853;2.946;312
14:24;107.41;42.80;6.040;2.449;379
14:30;107.09;42.95;7.837;3.359;365
14:36;108.87;42.24;7.804;3.181;372
14:42;107.70;42.76;8.984;3.916;364
14:48;106.32;43.25;8.338;3.325;360
14:54;106.99;43.03;10.032;5.727;353
15:00;105.71;43.58;11.257;9.053;385
15:06;105.25;43.71;11.603;11.792;337
15:12;104.48;44.02;11.876;9.556;379
15:18;106.99;43.04;11.743;16.450;409
15:24;105.54;43.58;13.430;20.324;392
15:30;106.03;43.44;13.076;18.588;355
15:36;104.72;43.92;11.513;18.454;343
15:42;105.86;43.48;9.436;5.018;358
15:48;106.26;43.27;6.847;3.089;343
15:54;103.79;44.33;8.279;3.964;350
16:00;105.13;43.76;6.702;2.992;342
16:06;104.16;44.20;7.965;3.667;360
16:12;103.90;44.28;6.869;3.047;390
16:18;103.95;44.30;7.629;3.532;364
16:24;104.12;44.22;7.063;3.334;397
16:30;104.44;44.13;6.219;2.672;410
16:36;103.89;44.36;6.055;2.638;415
16:42;105.03;43.78;6.241;2.639;390
16:48;104.25;44.11;7.742;4.168;405
16:54;100.78;45.63;14.050;13.526;430
17:00;100.09;46.00;17.459;25.356;425
17:06;98.84;46.58;21.322;39.545;387
17:12;97.90;46.98;23.252;47.829;347
17:18;98.70;46.63;25.129;65.701;312
17:24;95.23;48.34;24.694;67.414;390
17:30;93.96;48.90;25.759;77.249;399
17:36;94.32;48.79;25.083;69.378;371
17:42;94.28;48.82;25.153;68.934;370
17:48;94.08;48.94;26.468;67.420;376
17:54;96.32;47.79;23.938;52.959;395
18:00;96.69;47.63;23.174;56.305;360
18:06;96.96;47.54;22.796;55.749;378
18:12;97.28;47.31;22.967;59.466;391
18:18;98.47;46.78;21.997;67.529;351
18:24;98.79;46.61;20.868;66.531;380
18:30;98.29;46.84;21.730;71.333;411
18:36;98.12;46.85;23.308;82.805;421
18:42;97.31;47.29;23.611;99.233;392
18:48;98.29;46.80;24.727;112.798;392
18:54;99.33;46.36;24.308;88.119;412
19:00;101.80;45.23;22.839;90.780;436
19:06;103.25;44.55;20.817;67.540;370
19:12;103.45;44.56;20.014;41.127;353
19:18;106.61;43.12;17.146;39.631;351
19:24;107.70;42.78;16.203;23.141;345
19:30;106.82;43.09;14.963;17.551;337
19:36;111.55;41.23;7.803;2.938;292
19:42;110.29;41.74;6.126;2.420;296
19:48;110.92;41.53;8.543;3.399;326
19:54;111.64;41.19;7.659;3.050;312
20:00;113.23;40.69;6.883;2.717;317
20:06;114.48;40.20;9.330;3.378;292
20:12;112.89;40.71;7.061;2.636;272
20:18;113.68;40.51;8.983;3.348;246
20:24;113.50;40.58;11.050;4.796;213
20:30;113.20;40.64;10.569;4.254;225
20:36;114.19;40.26;9.754;3.774;226
20:42;113.16;40.65;9.655;3.784;207
20:48;111.17;41.36;12.229;6.019;176
20:54;114.21;40.28;11.103;5.069;168
21:00;114.08;40.34;10.887;4.013;150
21:06;114.20;40.30;10.965;4.086;151
21:12;114.91;40.04;12.952;6.953;155
21:18;112.11;41.07;16.429;27.913;141
21:24;111.06;41.43;18.293;28.780;144
21:30;112.21;41.05;18.142;28.786;136
21:36;111.97;41.13;16.501;29.022;140
21:42;111.06;41.43;15.601;14.132;132
21:48;112.87;40.72;12.234;5.089;112
21:54;112.36;41.01;13.774;5.859;127
22:00;112.27;41.06;14.201;5.616;127
22:06;112.99;40.68;12.601;4.809;110
22:12;110.33;41.69;14.751;6.312;115
22:18;111.63;41.23;13.622;5.570;116
22:24;113.53;40.53;12.574;4.633;119
22:30;112.82;40.72;12.464;4.542;98
22:36;113.85;40.40;10.942;3.976;92
22:42;114.00;40.31;12.780;4.674;99
22:48;116.55;39.44;12.908;4.726;92
22:54;115.73;39.72;12.547;4.490;87
23:00;115.09;39.99;12.562;4.416;86
23:06;116.50;39.52;12.543;5.104;88
23:12;113.91;40.37;13.900;5.284;92
23:18;112.91;40.75;13.836;5.275;87
23:24;114.37;40.20;15.297;6.080;93
23:30;115.96;39.66;13.737;5.562;94
23:36;114.77;40.01;14.896;6.201;92
23:42;114.36;40.20;15.559;6.154;81
23:48;114.91;40.01;16.237;6.718;87
23:54;115.38;39.85;15.086;5.772;89